Academic Year,County Code,District Code,School Code,County Name,District Name,School Name,District Type,School Type,"Educational 
Option Type","NSLP 
Provision 
Status","Charter 
School 
(Y/N)","Charter 
School 
Number","Charter 
Funding 
Type",IRC,Low Grade,High Grade,"Enrollment 
(K-12)","Free Meal 
Count 
(K-12)","Percent (%) 
Eligible Free 
(K-12)","FRPM Count 
(K-12)","Percent (%) 
Eligible FRPM 
(K-12)","Enrollment 
(Ages 5-17)","Free Meal 
Count 
(Ages 5-17)","Percent (%) 
Eligible Free 
(Ages 5-17)","FRPM Count 
(Ages 5-17)","Percent (%) 
Eligible FRPM 
(Ages 5-17)","2016-17 
CALPADS Fall 1 
Certification Status"
2016-2017,56,10561,6055974,Ventura,Ventura County Office of Education,Meadows Arts and Technology Elementary,County Office of Education (COE),Elementary Schools (Public),Traditional,N/A,Yes,1072,Directly funded,N,K,5,391,21,5.4%,22,5.6%,391,21,5.4%,22,5.6%,Y
2016-2017,56,10561,6069231,Ventura,Ventura County Office of Education,Ventura County Special Education,County Office of Education (COE),Special Education Schools (Public),Special Education School,N/A,No ,N/A,N/A,N,P,12,592,247,41.7%,283,47.8%,488,213,43.6%,241,49.4%,Y
2016-2017,56,72447,6054969,Ventura,Briggs Elementary,Briggs Elementary,Elementary School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,5,8,285,153,53.7%,209,73.3%,285,153,53.7%,209,73.3%,Y
2016-2017,56,72447,6054977,Ventura,Briggs Elementary,Olivelands Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,4,257,154,59.9%,198,77.0%,252,151,59.9%,195,77.4%,Y
2016-2017,56,72454,0000001,Ventura,Fillmore Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,Y
2016-2017,56,72454,0109520,Ventura,Fillmore Unified,Mountain Vista,Unified School District,Elementary Schools (Public),Traditional,Provision 2,No ,N/A,N/A,N,K,5,596,349,58.6%,433,72.7%,585,341,58.3%,425,72.6%,Y
2016-2017,56,72454,0124750,Ventura,Fillmore Unified,Heritage Valley Independent Study,Unified School District,Alternative Schools of Choice,Alternative School of Choice,N/A,No ,N/A,N/A,N,K,12,25,9,36.0%,10,40.0%,23,8,34.8%,9,39.1%,Y
2016-2017,56,72454,5630173,Ventura,Fillmore Unified,Sierra High,Unified School District,Continuation High Schools,Continuation School,Provision 2,No ,N/A,N/A,N,9,12,57,35,61.4%,43,75.4%,43,24,55.8%,32,74.4%,Y
2016-2017,56,72454,5632021,Ventura,Fillmore Unified,Fillmore Senior High,Unified School District,High Schools (Public),Traditional,Provision 2,No ,N/A,N/A,N,9,12,1004,463,46.1%,656,65.3%,971,445,45.8%,634,65.3%,Y
2016-2017,56,72454,6054985,Ventura,Fillmore Unified,Piru Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2,No ,N/A,N/A,N,K,5,273,194,71.1%,225,82.4%,266,188,70.7%,219,82.3%,Y
2016-2017,56,72454,6054993,Ventura,Fillmore Unified,San Cayetano Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2,No ,N/A,N/A,N,K,5,456,275,60.3%,336,73.7%,456,275,60.3%,336,73.7%,Y
2016-2017,56,72454,6055008,Ventura,Fillmore Unified,Rio Vista Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2,No ,N/A,N/A,N,K,5,465,263,56.6%,337,72.5%,450,258,57.3%,330,73.3%,Y
2016-2017,56,72454,6060321,Ventura,Fillmore Unified,Fillmore Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,Provision 2,No ,N/A,N/A,N,6,8,880,471,53.5%,615,69.9%,880,471,53.5%,615,69.9%,Y
2016-2017,56,72462,0000000,Ventura,Hueneme Elementary,District Office,Elementary School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,K,8,1,0,0.0%,0,0.0%,1,0,0.0%,0,0.0%,Y
2016-2017,56,72462,6055016,Ventura,Hueneme Elementary,Ansgar Larsen Elementary,Elementary School District,Elementary Schools (Public),Traditional,Provision 2,No ,N/A,N/A,N,K,5,734,611,83.2%,679,92.5%,721,601,83.4%,668,92.6%,Y
2016-2017,56,72462,6055024,Ventura,Hueneme Elementary,Art Haycox Elementary,Elementary School District,Elementary Schools (Public),Traditional,Provision 2,No ,N/A,N/A,N,K,5,1078,1027,95.3%,1059,98.2%,1061,1011,95.3%,1043,98.3%,Y
2016-2017,56,72462,6055032,Ventura,Hueneme Elementary,Charles Blackstock Junior High,Elementary School District,Intermediate/Middle Schools (Public),Traditional,Provision 2,No ,N/A,N/A,N,6,8,1310,1083,82.7%,1214,92.7%,1310,1083,82.7%,1214,92.7%,Y
2016-2017,56,72462,6055040,Ventura,Hueneme Elementary,E. O. Green Junior High,Elementary School District,Intermediate/Middle Schools (Public),Traditional,Provision 2,No ,N/A,N/A,N,6,8,1248,879,70.4%,1054,84.5%,1248,879,70.4%,1054,84.5%,Y
2016-2017,56,72462,6055057,Ventura,Hueneme Elementary,Fred L. Williams Elementary,Elementary School District,Elementary Schools (Public),Traditional,Provision 2,No ,N/A,N/A,N,K,5,621,473,76.2%,572,92.1%,606,460,75.9%,558,92.1%,Y
2016-2017,56,72462,6055065,Ventura,Hueneme Elementary,Hollywood Beach Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,347,66,19.0%,101,29.1%,347,66,19.0%,101,29.1%,Y
2016-2017,56,72462,6055073,Ventura,Hueneme Elementary,Hueneme Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,376,242,64.4%,277,73.7%,366,236,64.5%,271,74.0%,Y
2016-2017,56,72462,6055081,Ventura,Hueneme Elementary,Julien Hathaway Elementary,Elementary School District,Elementary Schools (Public),Traditional,Provision 2,No ,N/A,N/A,N,K,5,583,492,84.4%,552,94.7%,583,492,84.4%,552,94.7%,Y
2016-2017,56,72462,6055099,Ventura,Hueneme Elementary,Parkview Elementary,Elementary School District,Elementary Schools (Public),Traditional,Provision 2,No ,N/A,N/A,N,K,6,684,488,71.3%,584,85.4%,684,488,71.3%,584,85.4%,Y
2016-2017,56,72462,6055107,Ventura,Hueneme Elementary,Richard Bard Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,705,459,65.1%,558,79.1%,689,450,65.3%,548,79.5%,Y
2016-2017,56,72462,6055115,Ventura,Hueneme Elementary,Sunkist Elementary,Elementary School District,Elementary Schools (Public),Traditional,Provision 2,No ,N/A,N/A,N,K,6,692,524,75.7%,602,87.0%,684,517,75.6%,594,86.8%,Y
2016-2017,56,72470,5630363,Ventura,Mesa Union Elementary,Golden Valley Charter,Elementary School District,K-12 Schools (Public),Traditional,N/A,Yes,0356,Directly funded,Y,K,12,665,110,16.5%,176,26.5%,655,107,16.3%,173,26.4%,Y
2016-2017,56,72470,6055123,Ventura,Mesa Union Elementary,Mesa Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,8,611,178,29.1%,225,36.8%,605,177,29.3%,224,37.0%,Y
2016-2017,56,72504,0127043,Ventura,Mupu Elementary,Academy of Arts and Sciences: Thousand Oaks & Simi Valley,Elementary School District,K-12 Schools (Public),Traditional,N/A,Yes,1455,Directly funded,Y,K,12,111,65,58.6%,72,64.9%,105,62,59.0%,69,65.7%,Y
2016-2017,56,72504,6055156,Ventura,Mupu Elementary,Mupu Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,8,157,68,43.3%,89,56.7%,154,67,43.5%,88,57.1%,Y
2016-2017,56,72512,6055164,Ventura,Ocean View,Laguna Vista Elementary,Elementary School District,Elementary Schools (Public),Traditional,Provision 2,No ,N/A,N/A,N,K,5,523,260,49.7%,323,61.8%,492,253,51.4%,314,63.8%,Y
2016-2017,56,72512,6055172,Ventura,Ocean View,Mar Vista Elementary,Elementary School District,Elementary Schools (Public),Traditional,Provision 2,No ,N/A,N/A,N,K,5,532,373,70.1%,430,80.8%,532,373,70.1%,430,80.8%,Y
2016-2017,56,72512,6055180,Ventura,Ocean View,Tierra Vista Elementary,Elementary School District,Elementary Schools (Public),Traditional,Provision 2,No ,N/A,N/A,N,K,5,717,409,57.0%,488,68.1%,717,409,57.0%,488,68.1%,Y
2016-2017,56,72512,6084891,Ventura,Ocean View,Ocean View Junior High,Elementary School District,Intermediate/Middle Schools (Public),Traditional,Provision 2,No ,N/A,N/A,N,6,8,869,560,64.4%,694,79.9%,869,560,64.4%,694,79.9%,Y
2016-2017,56,72520,0000001,Ventura,Ojai Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,2,66.7%,2,66.7%,3,2,66.7%,2,66.7%,Y
2016-2017,56,72520,5630405,Ventura,Ojai Unified,Valley Oak Charter,Unified School District,K-12 Schools (Public),Traditional,N/A,Yes,0501,Directly funded,N,K,12,74,8,10.8%,8,10.8%,71,7,9.9%,7,9.9%,Y
2016-2017,56,72520,5631817,Ventura,Ojai Unified,Chaparral High,Unified School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,9,12,45,14,31.1%,17,37.8%,40,12,30.0%,15,37.5%,Y
2016-2017,56,72520,5634076,Ventura,Ojai Unified,Nordhoff High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,708,206,29.1%,270,38.1%,681,200,29.4%,263,38.6%,Y
2016-2017,56,72520,6055198,Ventura,Ojai Unified,Meiners Oaks Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,267,162,60.7%,191,71.5%,265,161,60.8%,190,71.7%,Y
2016-2017,56,72520,6055206,Ventura,Ojai Unified,Mira Monte Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,370,110,29.7%,157,42.4%,356,107,30.1%,150,42.1%,Y
2016-2017,56,72520,6055222,Ventura,Ojai Unified,San Antonio Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,160,26,16.3%,39,24.4%,153,25,16.3%,37,24.2%,Y
2016-2017,56,72520,6055230,Ventura,Ojai Unified,Summit Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,1,6,43,27,62.8%,36,83.7%,41,26,63.4%,35,85.4%,Y
2016-2017,56,72520,6055248,Ventura,Ojai Unified,Topa Topa Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,422,150,35.5%,200,47.4%,422,150,35.5%,200,47.4%,Y
2016-2017,56,72520,6060339,Ventura,Ojai Unified,Matilija Junior High,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,7,8,445,139,31.2%,192,43.1%,445,139,31.2%,192,43.1%,Y
2016-2017,56,72538,0000001,Ventura,Oxnard,"Nonpublic, Nonsectarian Schools",Elementary School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,13,4,30.8%,4,30.8%,11,4,36.4%,4,36.4%,Y
2016-2017,56,72538,0100362,Ventura,Oxnard,Thurgood Marshall Elementary,Elementary School District,Elementary Schools (Public),Traditional,Breakfast Provision 2,No ,N/A,N/A,N,K,5,550,326,59.3%,387,70.4%,537,319,59.4%,378,70.4%,Y
2016-2017,56,72538,0119412,Ventura,Oxnard,Juan Lagunas Soria Elementary,Elementary School District,Elementary Schools (Public),Traditional,Breakfast Provision 2,No ,N/A,N/A,N,K,8,1027,489,47.6%,619,60.3%,1027,489,47.6%,619,60.3%,Y
2016-2017,56,72538,6055263,Ventura,Oxnard,Curren Elementary,Elementary School District,Elementary Schools (Public),Traditional,Breakfast Provision 2,No ,N/A,N/A,N,K,8,1035,783,75.7%,876,84.6%,1033,782,75.7%,875,84.7%,Y
2016-2017,56,72538,6055271,Ventura,Oxnard,Driffill Elementary,Elementary School District,Elementary Schools (Public),Traditional,Breakfast Provision 2,No ,N/A,N/A,N,K,8,1181,952,80.6%,1047,88.7%,1167,942,80.7%,1037,88.9%,Y
2016-2017,56,72538,6055289,Ventura,Oxnard,Elm Street Elementary,Elementary School District,Elementary Schools (Public),Traditional,Breakfast Provision 2,No ,N/A,N/A,N,K,5,675,556,82.4%,615,91.1%,675,556,82.4%,615,91.1%,Y
2016-2017,56,72538,6055297,Ventura,Oxnard,Harrington Elementary,Elementary School District,Elementary Schools (Public),Traditional,Breakfast Provision 2,No ,N/A,N/A,N,K,5,590,444,75.3%,506,85.8%,587,443,75.5%,505,86.0%,Y
2016-2017,56,72538,6055305,Ventura,Oxnard,Haydock Academy of Arts & Sciences,Elementary School District,Intermediate/Middle Schools (Public),Traditional,Breakfast Provision 2,No ,N/A,N/A,N,6,8,903,684,75.7%,780,86.4%,903,684,75.7%,780,86.4%,Y
2016-2017,56,72538,6055313,Ventura,Oxnard,Fremont Academy of Environmental Science & Innovative Design,Elementary School District,Intermediate/Middle Schools (Public),Traditional,Breakfast Provision 2,No ,N/A,N/A,N,6,8,1110,652,58.7%,790,71.2%,1110,652,58.7%,790,71.2%,Y
2016-2017,56,72538,6055321,Ventura,Oxnard,Cesar E. Chavez Elementary,Elementary School District,Elementary Schools (Public),Traditional,Breakfast Provision 2,No ,N/A,N/A,N,K,8,908,783,86.2%,868,95.6%,908,783,86.2%,868,95.6%,Y
2016-2017,56,72538,6055339,Ventura,Oxnard,Kamala Elementary,Elementary School District,Elementary Schools (Public),Traditional,Breakfast Provision 2,No ,N/A,N/A,N,K,8,1200,989,82.4%,1097,91.4%,1200,989,82.4%,1097,91.4%,Y
2016-2017,56,72538,6055347,Ventura,Oxnard,Marina West Elementary,Elementary School District,Elementary Schools (Public),Traditional,Breakfast Provision 2,No ,N/A,N/A,N,K,5,663,485,73.2%,546,82.4%,651,477,73.3%,537,82.5%,Y
2016-2017,56,72538,6055354,Ventura,Oxnard,McKinna Elementary,Elementary School District,Elementary Schools (Public),Traditional,Breakfast Provision 2,No ,N/A,N/A,N,K,5,722,580,80.3%,645,89.3%,700,561,80.1%,624,89.1%,Y
2016-2017,56,72538,6055362,Ventura,Oxnard,Ramona Elementary,Elementary School District,Elementary Schools (Public),Traditional,Breakfast Provision 2,No ,N/A,N/A,N,K,5,617,547,88.7%,591,95.8%,596,529,88.8%,570,95.6%,Y
2016-2017,56,72538,6055370,Ventura,Oxnard,Rose Avenue Elementary,Elementary School District,Elementary Schools (Public),Traditional,Breakfast Provision 2,No ,N/A,N/A,N,K,5,743,639,86.0%,701,94.3%,716,616,86.0%,676,94.4%,Y
2016-2017,56,72538,6055388,Ventura,Oxnard,Sierra Linda Elementary,Elementary School District,Elementary Schools (Public),Traditional,Breakfast Provision 2,No ,N/A,N/A,N,K,5,733,536,73.1%,626,85.4%,715,523,73.1%,610,85.3%,Y
2016-2017,56,72538,6100333,Ventura,Oxnard,Lemonwood Elementary,Elementary School District,Elementary Schools (Public),Traditional,Breakfast Provision 2,No ,N/A,N/A,N,K,8,837,639,76.3%,742,88.6%,822,627,76.3%,730,88.8%,Y
2016-2017,56,72538,6107551,Ventura,Oxnard,Christa McAuliffe Elementary,Elementary School District,Elementary Schools (Public),Traditional,Breakfast Provision 2,No ,N/A,N/A,N,K,5,763,419,54.9%,468,61.3%,737,407,55.2%,454,61.6%,Y
2016-2017,56,72538,6110738,Ventura,Oxnard,Emilie Ritchen Elementary,Elementary School District,Elementary Schools (Public),Traditional,Breakfast Provision 2,No ,N/A,N/A,N,K,5,639,409,64.0%,473,74.0%,625,407,65.1%,466,74.6%,Y
2016-2017,56,72538,6111850,Ventura,Oxnard,R.J. Frank Academy of Marine Science & Engineering,Elementary School District,Intermediate/Middle Schools (Public),Traditional,Breakfast Provision 2,No ,N/A,N/A,N,6,8,1305,879,67.4%,1021,78.2%,1305,879,67.4%,1021,78.2%,Y
2016-2017,56,72538,6114029,Ventura,Oxnard,Norman R. Brekke Elementary,Elementary School District,Elementary Schools (Public),Traditional,Breakfast Provision 2,No ,N/A,N/A,N,K,5,608,262,43.1%,343,56.4%,600,258,43.0%,338,56.3%,Y
2016-2017,56,72546,0000001,Ventura,Oxnard Union High,"Nonpublic, Nonsectarian Schools",High School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,33,17,51.5%,17,51.5%,27,14,51.9%,14,51.9%,Y
2016-2017,56,72546,0115105,Ventura,Oxnard Union High,Camarillo Academy of Progressive Education,High School District,K-12 Schools (Public),Traditional,N/A,Yes,0943,Directly funded,N,K,12,569,31,5.4%,50,8.8%,569,31,5.4%,50,8.8%,Y
2016-2017,56,72546,0120634,Ventura,Oxnard Union High,"Architecture, Construction & Engineering Charter High (ACE)",High School District,High Schools (Public),Traditional,N/A,Yes,1126,Directly funded,Y,9,12,198,67,33.8%,88,44.4%,192,67,34.9%,88,45.8%,Y
2016-2017,56,72546,0125674,Ventura,Oxnard Union High,Condor High,High School District,Alternative Schools of Choice,Alternative School of Choice,N/A,No ,N/A,N/A,N,9,12,440,272,61.8%,313,71.1%,319,198,62.1%,236,74.0%,Y
2016-2017,56,72546,0131698,Ventura,Oxnard Union High,Rancho Campana High,High School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,541,31,5.7%,31,5.7%,539,30,5.6%,30,5.6%,Y
2016-2017,56,72546,5630066,Ventura,Oxnard Union High,Frontier High,High School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,9,12,415,313,75.4%,346,83.4%,309,232,75.1%,255,82.5%,Y
2016-2017,56,72546,5630389,Ventura,Oxnard Union High,Pacifica High,High School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,3186,2188,68.7%,2525,79.3%,3121,2143,68.7%,2476,79.3%,Y
2016-2017,56,72546,5631619,Ventura,Oxnard Union High,Adolfo Camarillo High,High School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,2366,512,21.6%,723,30.6%,2315,500,21.6%,707,30.5%,Y
2016-2017,56,72546,5631742,Ventura,Oxnard Union High,Channel Islands High,High School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,2482,1655,66.7%,2008,80.9%,2366,1583,66.9%,1921,81.2%,Y
2016-2017,56,72546,5632849,Ventura,Oxnard Union High,Hueneme High,High School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,2181,1530,70.2%,1852,84.9%,2141,1499,70.0%,1818,84.9%,Y
2016-2017,56,72546,5634548,Ventura,Oxnard Union High,Oxnard High,High School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,2812,1400,49.8%,1727,61.4%,2757,1368,49.6%,1693,61.4%,Y
2016-2017,56,72546,5634761,Ventura,Oxnard Union High,Rio Mesa High,High School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,2178,1049,48.2%,1318,60.5%,2053,971,47.3%,1231,60.0%,Y
2016-2017,56,72553,0000000,Ventura,Pleasant Valley,District Office,Elementary School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,P,8,1,0,0.0%,0,0.0%,1,0,0.0%,0,0.0%,Y
2016-2017,56,72553,0000001,Ventura,Pleasant Valley,"Nonpublic, Nonsectarian Schools",Elementary School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5,1,20.0%,1,20.0%,5,1,20.0%,1,20.0%,Y
2016-2017,56,72553,0101378,Ventura,Pleasant Valley,Las Colinas Middle,Elementary School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,8,993,127,12.8%,177,17.8%,993,127,12.8%,177,17.8%,Y
2016-2017,56,72553,0110502,Ventura,Pleasant Valley,Rancho Rosal Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,688,133,19.3%,181,26.3%,675,133,19.7%,179,26.5%,Y
2016-2017,56,72553,6055396,Ventura,Pleasant Valley,Camarillo Heights Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,366,79,21.6%,92,25.1%,359,79,22.0%,92,25.6%,Y
2016-2017,56,72553,6055404,Ventura,Pleasant Valley,Dos Caminos Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,325,138,42.5%,163,50.2%,311,130,41.8%,155,49.8%,Y
2016-2017,56,72553,6055412,Ventura,Pleasant Valley,Pleasant Valley School of Engineering and Arts,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,7,446,217,48.7%,257,57.6%,446,217,48.7%,257,57.6%,Y
2016-2017,56,72553,6055438,Ventura,Pleasant Valley,Las Posas Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,437,142,32.5%,212,48.5%,426,142,33.3%,211,49.5%,Y
2016-2017,56,72553,6055461,Ventura,Pleasant Valley,Monte Vista Middle,Elementary School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,8,811,210,25.9%,274,33.8%,811,210,25.9%,274,33.8%,Y
2016-2017,56,72553,6055990,Ventura,Pleasant Valley,Santa Rosa Technology Magnet,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,8,576,44,7.6%,56,9.7%,576,44,7.6%,56,9.7%,Y
2016-2017,56,72553,6096838,Ventura,Pleasant Valley,Los Primeros School of Sciences & Arts,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,8,565,49,8.7%,84,14.9%,565,49,8.7%,84,14.9%,Y
2016-2017,56,72553,6112171,Ventura,Pleasant Valley,Tierra Linda Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,662,82,12.4%,111,16.8%,647,79,12.2%,106,16.4%,Y
2016-2017,56,72553,6120117,Ventura,Pleasant Valley,La Mariposa,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,648,65,10.0%,84,13.0%,648,65,10.0%,84,13.0%,Y
2016-2017,56,72553,6120620,Ventura,Pleasant Valley,University Preparation Charter School at CSU Channel Islands,Elementary School District,Elementary Schools (Public),Traditional,N/A,Yes,0464,Directly funded,Y,K,8,761,292,38.4%,407,53.5%,761,292,38.4%,407,53.5%,Y
2016-2017,56,72561,0000001,Ventura,Rio Elementary,"Nonpublic, Nonsectarian Schools",Elementary School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,2,100.0%,2,100.0%,2,2,100.0%,2,100.0%,Y
2016-2017,56,72561,0112631,Ventura,Rio Elementary,Rio Del Mar,Elementary School District,Elementary Schools (Public),Traditional,Provision 2,No ,N/A,N/A,N,K,5,565,304,53.8%,363,64.2%,555,301,54.2%,359,64.7%,Y
2016-2017,56,72561,0113977,Ventura,Rio Elementary,Rio Vista Middle,Elementary School District,Intermediate/Middle Schools (Public),Traditional,Provision 2,No ,N/A,N/A,N,6,8,800,486,60.8%,605,75.6%,800,486,60.8%,605,75.6%,Y
2016-2017,56,72561,6055495,Ventura,Rio Elementary,Rio del Valle Middle,Elementary School District,Intermediate/Middle Schools (Public),Traditional,Provision 2,No ,N/A,N/A,N,6,8,697,460,66.0%,558,80.1%,697,460,66.0%,558,80.1%,Y
2016-2017,56,72561,6055503,Ventura,Rio Elementary,Rio Lindo Elementary,Elementary School District,Elementary Schools (Public),Traditional,Provision 2,No ,N/A,N/A,N,K,5,542,391,72.1%,437,80.6%,530,385,72.6%,430,81.1%,Y
2016-2017,56,72561,6055511,Ventura,Rio Elementary,Rio Plaza Elementary,Elementary School District,Elementary Schools (Public),Traditional,Provision 2,No ,N/A,N/A,N,K,5,604,498,82.5%,543,89.9%,590,486,82.4%,531,90.0%,Y
2016-2017,56,72561,6055529,Ventura,Rio Elementary,Rio Real Elementary,Elementary School District,Elementary Schools (Public),Traditional,Provision 2,No ,N/A,N/A,N,K,8,777,567,73.0%,642,82.6%,777,567,73.0%,642,82.6%,Y
2016-2017,56,72561,6118061,Ventura,Rio Elementary,Rio Rosales,Elementary School District,Elementary Schools (Public),Traditional,Provision 2,No ,N/A,N/A,N,K,5,576,329,57.1%,396,68.8%,563,322,57.2%,388,68.9%,Y
2016-2017,56,72561,6119242,Ventura,Rio Elementary,Rio del Norte,Elementary School District,Elementary Schools (Public),Traditional,Provision 2,No ,N/A,N/A,N,K,5,579,354,61.1%,422,72.9%,579,354,61.1%,422,72.9%,Y
2016-2017,56,72579,6055537,Ventura,Santa Clara Elementary,Santa Clara Elementary,Elementary School District,Elemen Schools In 1 School Dist. (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,56,7,12.5%,7,12.5%,56,7,12.5%,7,12.5%,Y
2016-2017,56,72603,0000001,Ventura,Simi Valley Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,34,8,23.5%,8,23.5%,27,6,22.2%,6,22.2%,Y
2016-2017,56,72603,5630249,Ventura,Simi Valley Unified,Monte Vista,Unified School District,Alternative Schools of Choice,Alternative School of Choice,N/A,No ,N/A,N/A,N,1,12,212,37,17.5%,37,17.5%,200,36,18.0%,36,18.0%,Y
2016-2017,56,72603,5630322,Ventura,Simi Valley Unified,Santa Susana High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,1260,180,14.3%,257,20.4%,1221,172,14.1%,247,20.2%,Y
2016-2017,56,72603,5634993,Ventura,Simi Valley Unified,Apollo High,Unified School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,9,12,193,95,49.2%,109,56.5%,146,68,46.6%,78,53.4%,Y
2016-2017,56,72603,5635008,Ventura,Simi Valley Unified,Royal High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,1955,478,24.5%,623,31.9%,1887,456,24.2%,595,31.5%,Y
2016-2017,56,72603,5636188,Ventura,Simi Valley Unified,Simi Valley High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,2232,405,18.1%,544,24.4%,2123,384,18.1%,519,24.4%,Y
2016-2017,56,72603,6055636,Ventura,Simi Valley Unified,Arroyo Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,237,142,59.9%,171,72.2%,236,141,59.7%,170,72.0%,Y
2016-2017,56,72603,6055651,Ventura,Simi Valley Unified,Berylwood Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,582,402,69.1%,465,79.9%,559,392,70.1%,450,80.5%,Y
2016-2017,56,72603,6055669,Ventura,Simi Valley Unified,Big Springs Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,641,77,12.0%,99,15.4%,641,77,12.0%,99,15.4%,Y
2016-2017,56,72603,6055685,Ventura,Simi Valley Unified,Crestview Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,309,125,40.5%,142,46.0%,301,123,40.9%,140,46.5%,Y
2016-2017,56,72603,6055693,Ventura,Simi Valley Unified,Garden Grove Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,408,101,24.8%,140,34.3%,407,101,24.8%,140,34.4%,Y
2016-2017,56,72603,6055701,Ventura,Simi Valley Unified,Hollow Hills Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,675,92,13.6%,137,20.3%,675,92,13.6%,137,20.3%,Y
